t, mcp_t, pip_t, dip_t, mcp_q, pip_q, dip_q, mcp_qd, pip_qd, dip_qd, mcp_qdd, pip_qdd, dip_qdd
0.0, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.020000000000000004, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.04000000000000002, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.06000000000000004, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.08000000000000006, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.10000000000000007, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.12000000000000009, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.1400000000000001, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.16000000000000011, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.18000000000000013, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.20000000000000015, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.22000000000000017, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.24000000000000019, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.2600000000000002, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.2800000000000002, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.3000000000000002, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.32000000000000023, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.34000000000000025, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.36000000000000026, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.3800000000000003, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.4000000000000003, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.4200000000000003, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.44000000000000034, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.46000000000000035, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.48000000000000037, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.5000000000000003, 1.6847421541418473e-06, 7.177275094476896e-07, 2.6556134355121877e-07, 0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.5200000000000004, 1.521904417955376e-06, 6.483565448028062e-07, 2.398939182184869e-07, 0.300001654830483, 0.3000013139156102, 0.30000120027297855, 0.00014818272009898485, 0.0001176553073496614, 0.00010747911441362311, 0.007074296531793773, 0.005616906830802213, 0.005131091707782431, 
0.5400000000000004, 1.371724991723222e-06, 5.843791176129253e-07, 2.1622218417117074e-07, 0.3000061124112872, 0.3000048531814517, 0.3000044334221402, 0.0002819131844800411, 0.00022383569652227112, 0.0002044757944057073, 0.006377727924437925, 0.0050638396881973035, 0.004625860213874492, 
0.5600000000000004, 1.2332811065734387e-06, 5.254018414402459e-07, 1.9440056735890839e-07, 0.3000130962261633, 0.30001039824693015, 0.3000094988861673, 0.00040231758965577626, 0.0003194353540784384, 0.0002918068869321693, 0.005735569281804235, 0.004553973406785615, 0.004160093070599339, 
