t,q_o0,q_r0,q_o1,q_r1,qd_o0,qd_r0,qd_o1,qd_r1
0.0,-0.0,-0.0,0.514940515094843,0.514940515094843,0.0,-0.61950006371137,0.0,1.16403832223499e-05
0.002,-4.668493131085692e-09,-0.0,0.5157534301608576,0.514940515094843,-2.334246565542846e-06,-0.61950006371137,0.4064575330073432,1.16403832223499e-05
0.004,-0.0005541049416453067,-0.0,0.516201183138707,0.514940515094843,-0.2770501365760878,-0.61950006371137,0.22387648892470566,1.16403832223499e-05
0.006,-0.0014133935312999279,-0.00310013577056543,0.516446183972824,0.5149282656256989,-0.4296442948273106,-0.619314140770422,0.12250041705855137,-0.004822503745782939
0.008,-0.002445701472957364,-0.00310013577056543,0.516574267887842,0.5149282656256989,-0.5161539708287181,-0.619314140770422,0.06404195750896352,-0.004822503745782939
0.01,-0.0035715875442340487,-0.00619934025359625,0.5166374655516959,0.514893082870232,-0.5629430356383422,-0.619127921212538,0.03159883192691774,-0.00915250083173305
0.012,-0.004752982410310237,-0.00619934025359625,0.516660725350098,0.514893082870232,-0.5906974330380943,-0.619127921212538,0.01162989920104246,-0.00915250083173305
0.014,-0.005962698993749622,-0.00619934025359625,0.5166618615198568,0.514893082870232,-0.6048582917196923,-0.619127921212538,0.0005680848794005315,-0.00915250083173305
0.016,-0.007185652004332596,-0.009297611964523209,0.5166507657761439,0.5148374900869149,-0.6114765052914867,-0.618941405037718,-0.005547871856465803,-0.012978350874628002
0.018000000000000002,-0.008419505744147068,-0.009297611964523209,0.5166293974585765,0.5148374900869149,-0.6169268699072361,-0.618941405037718,-0.010684158783694078,-0.012978350874628002
0.020000000000000004,-0.00965691755140022,-0.0123949494187771,0.5166023933384782,0.514764010534221,-0.6187059036265761,-0.618754592245963,-0.013502060049109758,-0.0163000538744677
0.022000000000000006,-0.010899848970813197,-0.0123949494187771,0.5165692098510138,0.514764010534221,-0.6214657097064888,-0.618754592245963,-0.016591743732191952,-0.0163000538744677
0.024000000000000007,-0.012143345693947413,-0.0123949494187771,0.516532676860256,0.514764010534221,-0.6217483615671082,-0.618754592245963,-0.018266495378940987,-0.0163000538744677
0.02600000000000001,-0.013384667915846875,-0.0154913511317886,0.5164943653755971,0.514675167470626,-0.6206611109497311,-0.6185674828372729,-0.019155742329420047,-0.0191176098312523
0.02800000000000001,-0.014628330906266597,-0.0154913511317886,0.5164524496018715,0.514675167470626,-0.6218314952098606,-0.6185674828372729,-0.020957886862780162,-0.0191176098312523
