theta,psi
0.5149405150948427,-0.0
0.5140771452658225,-0.031240288501990662
0.5114854680503816,-0.06238509952728861
0.5071608718189914,-0.09333850518115554
0.5010959781099257,-0.124003688760339
0.4932811112166879,-0.1542825310810497
0.483704971275401,-0.18407523551703095
0.47235552469118713,-0.21328000761943386
0.45922112688630684,-0.24179280754605212
0.444291891064198,-0.26950719619157554
0.42756131212590853,-0.2963142986286706
0.4090281461412173,-0.3221029108772139
0.3886985319940484,-0.34675977762178445
0.36658832233775335,-0.370170068666269
0.34272556564608664,-0.3922180799042497
0.31715305059987786,-0.41278817959295877
0.28993079018799744,-0.43176601199962095
0.26113828913179693,-0.44903995751888776
0.23087640961117942,-0.4645028310605441
0.19926863319386445,-0.47805377948320416
0.1664615183252172,-0.48960031558821127
0.13262417886543248,-0.49906040312439065
0.09794666342989368,-0.5063644876274808
0.06263719662635148,-0.5114573553474879
0.026918344838106067,-0.5142997003218246
-0.008977721600257072,-0.5148692900307638
-0.044814597679022045,-0.513161643363825
-0.08035729800902625,-0.5091901689089846
-0.11537781512208782,-0.502985752799797
-0.14966021248021946,-0.4945958280438792
-0.18300493866234108,-0.4840829956274455
-0.2152321385121414,-0.47152329686172556
-0.24618384398120813,-0.4570042533675789
-0.27572503465940723,-0.4406227950130282
-0.3037436506658302,-0.4224831883710578
-0.3301497088552188,-0.4026950617142228
-0.3548737133043976,-0.38137160077553217
-0.37786456418936265,-0.3586279659813296
-0.3990871604940225,-0.3345799594738053
-0.4185198682746729,-0.30934295095212905
-0.4361519942756488,-0.28303105619891633
-0.45198137034687086,-0.2557565513573691
-0.46601212158570937,-0.2276294992535955
-0.478252663027129,-0.1987575606581738
-0.48871394726638956,-0.16924596255892577
-0.49740796882362226,-0.13919759648934876
-0.5043465199017478,-0.10871322203262711
-0.5095401856578228,-0.07789175323729815
-0.5129975642954794,-0.046830608409932514
-0.5147246973114196,-0.01562610628594511
-0.5147246973114196,0.01562610628594521
-0.5129975642954794,0.04683060840993261
-0.5095401856578228,0.07789175323729823
-0.5043465199017478,0.10871322203262698
-0.49740796882362226,0.13919759648934885
-0.48871394726638967,0.16924596255892566
-0.478252663027129,0.19875756065817388
-0.4660121215857094,0.22762949925359535
-0.4519813703468708,0.25575655135736913
-0.43615199427564894,0.28303105619891616
-0.4185198682746729,0.30934295095212916
-0.3990871604940226,0.33457995947380514
-0.3778645641893626,0.3586279659813298
-0.3548737133043977,0.3813716007755321
-0.33014970885521866,0.4026950617142229
-0.30374365066583037,0.42248318837105775
-0.2757250346594069,0.44062279501302837
-0.24618384398120804,0.457004253367579
-0.2152321385121414,0.47152329686172556
-0.1830049386623412,0.4840829956274455
-0.14966021248021924,0.4945958280438792
-0.11537781512208771,0.502985752799797
-0.08035729800902625,0.5091901689089846
-0.04481459767902219,0.513161643363825
-0.008977721600256835,0.5148692900307638
0.026918344838106182,0.5142997003218246
0.06263719662635135,0.5114573553474879
0.09794666342989343,0.5063644876274809
0.1326241788654326,0.49906040312439065
0.1664615183252172,0.48960031558821127
0.19926863319386434,0.47805377948320416
0.23087640961117964,0.4645028310605441
0.261138289131797,0.4490399575188877
0.28993079018799744,0.43176601199962095
0.3171530505998777,0.41278817959295877
0.3427255656460868,0.3922180799042496
0.36658832233775346,0.37017006866626895
0.3886985319940484,0.34675977762178445
0.4090281461412172,0.32210291087721404
0.4275613121259086,0.29631429862867054
0.444291891064198,0.2695071961915755
0.45922112688630684,0.24179280754605217
0.4723555246911871,0.21328000761943403
0.483704971275401,0.18407523551703078
0.4932811112166879,0.1542825310810497
0.5010959781099257,0.12400368876033908
0.5071608718189914,0.0933385051811553
0.5114854680503816,0.062385099527288504
0.5140771452658225,0.031240288501990666
0.5149405150948427,1.206235652380734e-16
